"Week","Tract 18 Max","Week","Tract 27 Max","Week","Tract 28 Max","Week","Tract 37 Max","Week","Tract 44.01 Max","Week","Tract 44.02 Max"
202109,104,202109,104,202109,103,202109,100,202109,101,202109,96
202110,168,202110,173,202110,166,202110,173,202110,155,202110,166
202111,127,202111,124,202111,130,202111,130,202111,118,202111,130
202112,65,202112,61,202112,65,202112,59,202112,58,202112,59
202113,63,202113,59,202113,63,202113,59,202113,56,202113,57
202114,71,202114,65,202114,74,202114,74,202114,57,202114,74
202115,67,202115,64,202115,67,202115,64,202115,57,202115,59
202116,60,202116,60,202116,55,202116,60,202116,54,202116,59
202117,38,202117,39,202117,34,202117,39,202117,32,202117,34
202118,41,202118,46,202118,38,202118,38,202118,33,202118,38
202119,60,202119,46,202119,45,202119,46,202119,37,202119,45
202120,51,202120,48,202120,55,202120,52,202120,55,202120,52
202121,52,202121,55,202121,50,202121,55,202121,44,202121,38
202122,53,202122,51,202122,53,202122,51,202122,35,202122,34
202123,85,202123,32,202123,32,202123,32,202123,27,202123,29
202124,51,202124,41,202124,57,202124,57,202124,52,202124,57
202125,45,202125,32,202125,45,202125,29,202125,30,202125,29
202126,46,202126,42,202126,46,202126,42,202126,38,202126,42
202127,154,202127,149,202127,152,202127,152,202127,116,202127,152
202128,52,202128,54,202128,50,202128,54,202128,43,202128,48
202129,53,202129,48,202129,53,202129,48,202129,39,202129,48
202130,173,202130,169,202130,173,202130,169,202130,161,202130,168
202131,178,202131,178,202131,180,202131,178,202131,180,202131,178
202132,87,202132,87,202132,92,202132,87,202132,92,202132,86
202133,177,202133,180,202133,180,202133,179,202133,180,202133,179
202134,236,202134,246,202134,257,202134,255,202134,257,202134,255
202135,148,202135,148,202135,152,202135,152,202135,152,202135,152
202136,134,202136,140,202136,141,202136,137,202136,141,202136,137
202137,99,202137,103,202137,113,202137,105,202137,113,202137,105
202138,152,202138,152,202138,153,202138,148,202138,153,202138,148
202139,73,202139,73,202139,78,202139,78,202139,75,202139,78
202140,91,202140,88,202140,94,202140,97,202140,94,202140,97
202141,144,202141,84,202141,144,202141,81,202141,90,202141,81
