STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/1/2022,41,51,33
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/2/2022,39,52,28
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/3/2022,41,53,31
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/4/2022,52,57,50
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/5/2022,52,60,44
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/6/2022,49,53,47
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/7/2022,51,55,42
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/8/2022,49,57,38
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/9/2022,45,57,35
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/10/2022,47,61,38
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/11/2022,46,58,36
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/12/2022,47,61,36
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/13/2022,48,61,39
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/14/2022,48,65,34
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/15/2022,43,55,36
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/16/2022,46,58,39
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/17/2022,44,58,34
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/18/2022,45,59,35
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/19/2022,47,61,36
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/20/2022,47,63,35
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/21/2022,51,64,42
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1/22/2022,55,64,40
